Date,High,Low,Open,Close,Volume,Adj Close
2015-07-27,1198.6700439453125,1158.5699462890625,1198.0699462890625,1162.22998046875,3556780.0,1038.393310546875
2015-07-28,1181.3299560546875,1162.4300537109375,1166.6700439453125,1172.6300048828125,1856446.0,1047.685302734375
2015-07-29,1198.969970703125,1166.699951171875,1177.8699951171875,1193.530029296875,1687711.0,1066.3582763671875
2015-07-30,1206.6700439453125,1178.969970703125,1203.3299560546875,1182.5,2621203.0,1056.5035400390625
2015-07-31,1210.5699462890625,1177.3299560546875,1189.6700439453125,1194.1700439453125,2882673.0,1066.9302978515625
2015-08-03,1189.3299560546875,1136.030029296875,1140.030029296875,1186.27001953125,4953312.0,1059.8719482421875
2015-08-04,1196.530029296875,1172.6700439453125,1186.6700439453125,1183.1700439453125,2105218.0,1057.1021728515625
2015-08-05,1194.5999755859375,1179.4000244140625,1183.1700439453125,1186.4000244140625,1552152.0,1059.9881591796875
2015-08-06,1224.530029296875,1183.3299560546875,1184.72998046875,1220.5,2809791.0,1090.45458984375
2015-08-07,1229.3299560546875,1210.72998046875,1220.0,1222.300048828125,2368350.0,1092.062744140625
2015-08-10,1229.469970703125,1204.0699462890625,1221.030029296875,1213.8299560546875,2166975.0,1084.495361328125
2015-08-11,1216.5999755859375,1188.0,1214.800048828125,1200.77001953125,1658853.0,1072.8270263671875
2015-08-12,1195.1300048828125,1168.0,1195.030029296875,1175.0,2478813.0,1049.802734375
2015-08-13,1195.969970703125,1165.3299560546875,1175.0,1173.4300537109375,3626170.0,1048.39990234375
2015-08-14,1203.1700439453125,1166.699951171875,1185.8299560546875,1199.6700439453125,1955958.0,1071.84423828125
2015-08-17,1200.0,1177.030029296875,1195.27001953125,1186.9000244140625,1508725.0,1060.434814453125
2015-08-18,1209.969970703125,1188.72998046875,1195.469970703125,1200.0999755859375,2073873.0,1072.228271484375
2015-08-19,1213.3299560546875,1190.6700439453125,1199.9300537109375,1209.800048828125,1626091.0,1080.894775390625
2015-08-20,1212.6700439453125,1176.0,1196.6700439453125,1187.9000244140625,2032938.0,1061.3282470703125
2015-08-21,1170.0,1150.0,1170.0,1160.0,3087904.0,1036.401123046875
2015-08-24,1132.0,1070.0,1132.0,1087.699951171875,4809892.0,971.8045043945312
2015-08-25,1110.3299560546875,1050.0,1099.969970703125,1083.0999755859375,5436565.0,967.6947021484375
2015-08-26,1095.0,1056.4000244140625,1085.27001953125,1061.469970703125,3418867.0,948.3693237304688
2015-08-27,1092.0,1060.0699462890625,1086.6700439453125,1080.030029296875,6486766.0,964.9519653320312
2015-08-28,1103.3299560546875,1070.1300048828125,1093.27001953125,1077.6300048828125,3557331.0,962.8074340820312
2015-08-31,1086.6700439453125,1066.0,1078.0,1068.5999755859375,2546173.0,969.35693359375
2015-09-01,1058.0,1025.6700439453125,1053.3299560546875,1038.5999755859375,4791088.0,956.6915283203125
2015-09-02,1056.0,1013.2999877929688,1056.0,1018.4299926757812,4657150.0,938.1121215820312
2015-09-03,1048.0,1025.0699462890625,1028.199951171875,1045.8699951171875,3510199.0,963.3880615234375
2015-09-04,1043.1300048828125,1013.3300170898438,1039.27001953125,1022.5700073242188,3262708.0,941.9255981445312
2015-09-07,1034.0,1002.6699829101562,1026.3699951171875,1006.3300170898438,1831632.0,926.9663696289062
2015-09-08,1046.0,993.3330078125,1010.0,1043.0,2772253.0,960.744384765625
2015-09-09,1065.0,1040.0,1057.0,1061.6700439453125,3469864.0,977.9420166015625
2015-09-10,1083.3299560546875,1036.969970703125,1047.5999755859375,1076.9000244140625,2940453.0,991.970947265625
2015-09-11,1086.4000244140625,1061.699951171875,1083.3299560546875,1068.6300048828125,2370705.0,984.3530883789062
2015-09-14,1079.3299560546875,1058.6700439453125,1071.0999755859375,1070.6300048828125,1564111.0,986.1953735351562
2015-09-15,1076.27001953125,1033.3299560546875,1070.6700439453125,1038.77001953125,4171896.0,956.8479614257812
2015-09-16,1048.4000244140625,1023.469970703125,1048.0,1032.469970703125,3774322.0,951.0447998046875
2015-09-18,1056.0,1023.3699951171875,1040.6700439453125,1027.0699462890625,3023722.0,946.0706176757812
2015-09-21,1038.22998046875,1018.3300170898438,1020.0,1033.5,2421045.0,951.99365234375
2015-09-22,1041.27001953125,986.8330078125,1040.199951171875,989.9669799804688,4925386.0,911.893798828125
2015-09-23,1002.6699829101562,964.8330078125,982.0,996.8670043945312,4148463.0,918.2496337890625
2015-09-24,991.5999755859375,973.3330078125,991.5999755859375,974.9669799804688,3337753.0,898.0767822265625
2015-09-28,979.3670043945312,950.4000244140625,976.0,953.3670043945312,3741877.0,878.18017578125
2015-09-29,976.6669921875,941.5670166015625,946.6669921875,964.1669921875,4576866.0,888.1284790039062
2015-09-30,979.3330078125,964.2670288085938,976.5330200195312,977.5,3287628.0,900.4100341796875
2015-10-01,996.4329833984375,974.7329711914062,988.6669921875,993.4000244140625,2706871.0,915.0560913085938
2015-10-05,1036.0,1002.72998046875,1002.72998046875,1033.77001953125,3955770.0,952.2423706054688
2015-10-06,1042.469970703125,1026.3299560546875,1042.469970703125,1036.5699462890625,3646411.0,954.8214111328125
